,SEX,RAC1P
604092,2.0,1.0
682602,1.0,1.0
1556579,1.0,6.0
1184217,2.0,1.0
1002624,1.0,2.0
800027,2.0,1.0
198011,1.0,6.0
564125,1.0,1.0
711522,1.0,2.0
1058175,1.0,1.0
170439,2.0,6.0
448758,2.0,1.0
1191360,1.0,1.0
242891,1.0,2.0
274148,2.0,1.0
868886,1.0,1.0
172258,2.0,1.0
269426,2.0,1.0
240677,2.0,1.0
1657485,1.0,1.0
1043454,1.0,8.0
968257,1.0,1.0
1633363,1.0,1.0
215158,1.0,1.0
1153399,1.0,1.0
298850,1.0,1.0
262129,1.0,7.0
836137,2.0,1.0
1134593,2.0,1.0
401990,1.0,1.0
1606310,2.0,1.0
1285189,1.0,1.0
484798,2.0,1.0
836711,1.0,1.0
932658,1.0,1.0
141619,1.0,6.0
756228,1.0,9.0
1381057,2.0,1.0
1188580,2.0,1.0
692404,1.0,1.0
535824,1.0,1.0
1326096,2.0,1.0
1596723,1.0,1.0
211468,1.0,8.0
907469,2.0,1.0
690437,1.0,8.0
860722,1.0,1.0
1393765,1.0,1.0
262179,1.0,1.0
974283,2.0,1.0
1574578,2.0,6.0
1083099,1.0,1.0
868334,1.0,1.0
1396792,1.0,1.0
554132,2.0,1.0
461593,2.0,1.0
584824,1.0,1.0
916372,2.0,1.0
1564406,2.0,2.0
238970,2.0,8.0
549825,2.0,1.0
902736,2.0,1.0
458713,1.0,1.0
262285,1.0,1.0
1129985,1.0,1.0
1274416,1.0,1.0
105529,1.0,8.0
1614583,2.0,1.0
1250047,2.0,1.0
27152,1.0,1.0
1355595,2.0,1.0
37437,1.0,1.0
1208712,2.0,3.0
512133,2.0,1.0
792651,2.0,1.0
777906,1.0,2.0
590900,2.0,1.0
27314,2.0,1.0
851713,2.0,1.0
556601,1.0,1.0
692914,2.0,1.0
719544,2.0,1.0
1072737,2.0,1.0
249621,1.0,1.0
1278975,1.0,1.0
569748,2.0,2.0
325672,1.0,1.0
8761,1.0,1.0
8653,2.0,1.0
1484128,1.0,1.0
1399760,2.0,1.0
1363729,2.0,1.0
779285,1.0,1.0
1078877,1.0,1.0
1175303,2.0,2.0
1455009,2.0,1.0
1223078,1.0,1.0
916271,2.0,1.0
1063699,2.0,1.0
656965,1.0,8.0
1453331,2.0,1.0
1304899,1.0,1.0
482077,2.0,1.0
1193489,1.0,1.0
806106,1.0,6.0
886057,2.0,1.0
1169767,1.0,1.0
1466728,1.0,1.0
1546281,2.0,1.0
1471186,1.0,1.0
792844,2.0,1.0
1404365,1.0,1.0
1525596,2.0,1.0
1059110,1.0,1.0
552908,2.0,1.0
888535,2.0,1.0
1014963,2.0,2.0
1325268,2.0,1.0
990647,1.0,1.0
132218,2.0,6.0
844674,1.0,2.0
431664,1.0,2.0
1398270,2.0,2.0
617608,2.0,1.0
53942,1.0,1.0
1578937,2.0,1.0
164854,2.0,1.0
460871,2.0,2.0
1584401,1.0,1.0
973741,2.0,1.0
1152460,1.0,1.0
413343,2.0,1.0
1229729,2.0,1.0
587915,1.0,1.0
902706,2.0,1.0
648538,2.0,1.0
1472762,2.0,2.0
45190,2.0,1.0
317382,1.0,1.0
1055019,2.0,2.0
295200,1.0,2.0
1037149,1.0,1.0
613400,1.0,1.0
378389,2.0,1.0
1265348,1.0,1.0
7493,1.0,1.0
279407,1.0,9.0
687803,1.0,1.0
931372,2.0,6.0
323632,1.0,1.0
965414,2.0,1.0
979313,1.0,6.0
796122,2.0,1.0
625171,1.0,1.0
1644793,2.0,1.0
1659215,1.0,1.0
698900,2.0,1.0
1266948,1.0,1.0
556481,1.0,1.0
177409,2.0,6.0
1507667,1.0,1.0
1301125,1.0,1.0
1050978,2.0,2.0
517717,2.0,1.0
902812,2.0,1.0
268726,2.0,1.0
476081,2.0,6.0
640975,2.0,1.0
1625921,1.0,1.0
51070,2.0,1.0
1583894,1.0,1.0
334830,1.0,1.0
128056,1.0,6.0
1477764,2.0,1.0
38095,1.0,1.0
519808,1.0,1.0
159962,2.0,9.0
730369,1.0,1.0
1098077,2.0,1.0
886605,2.0,1.0
473281,1.0,1.0
913005,1.0,1.0
1451643,2.0,2.0
1651968,2.0,1.0
1191727,1.0,1.0
1062402,2.0,1.0
1474753,2.0,1.0
624651,2.0,1.0
1098090,1.0,1.0
593164,1.0,2.0
1453306,1.0,1.0
1624933,1.0,3.0
638174,2.0,1.0
576263,2.0,1.0
346888,2.0,1.0
1619315,1.0,1.0
1104192,1.0,1.0
1001367,1.0,1.0
224536,1.0,6.0
129200,2.0,1.0
397922,2.0,1.0
174933,2.0,1.0
1259407,2.0,1.0
815606,2.0,1.0
1485083,1.0,1.0
117158,1.0,8.0
1300994,2.0,1.0
1134426,1.0,1.0
1475424,2.0,1.0
370761,1.0,1.0
1170044,1.0,1.0
881566,1.0,1.0
266301,2.0,1.0
601956,1.0,1.0
387764,1.0,1.0
751289,2.0,1.0
1556997,1.0,1.0
1078903,1.0,1.0
517145,1.0,6.0
635001,2.0,1.0
1352322,1.0,2.0
517092,1.0,8.0
506947,1.0,9.0
1164673,2.0,1.0
639397,2.0,1.0
1571079,2.0,1.0
1411,1.0,2.0
505201,2.0,1.0
353560,1.0,1.0
788351,2.0,1.0
791593,1.0,6.0
1402238,2.0,1.0
580782,2.0,1.0
452880,1.0,1.0
971157,2.0,1.0
454073,1.0,1.0
504383,1.0,1.0
1635965,2.0,1.0
19098,2.0,2.0
944018,1.0,2.0
1010782,1.0,1.0
1430508,2.0,1.0
1238044,2.0,1.0
181985,2.0,1.0
332265,2.0,1.0
451297,2.0,2.0
1514733,2.0,1.0
72044,2.0,1.0
1317246,1.0,1.0
1477266,1.0,1.0
1213588,1.0,1.0
552685,2.0,8.0
1038251,1.0,1.0
562564,2.0,1.0
347496,2.0,1.0
1453315,2.0,1.0
822016,1.0,1.0
1627482,2.0,1.0
612350,1.0,1.0
1253633,2.0,1.0
924315,2.0,1.0
1223789,1.0,1.0
421351,2.0,1.0
1162033,1.0,1.0
83491,1.0,1.0
122651,1.0,9.0
902746,1.0,1.0
1564544,1.0,6.0
83810,1.0,1.0
1409404,1.0,2.0
805747,1.0,1.0
910306,1.0,1.0
1621587,2.0,1.0
100140,1.0,1.0
260991,2.0,1.0
610250,1.0,1.0
1198203,1.0,9.0
642310,2.0,1.0
35979,1.0,1.0
23556,2.0,9.0
1023903,1.0,2.0
791820,2.0,1.0
1539707,2.0,1.0
1429987,2.0,1.0
1151453,2.0,1.0
363030,2.0,2.0
985535,2.0,1.0
528960,2.0,2.0
716792,1.0,8.0
1128228,1.0,1.0
424196,1.0,1.0
723390,2.0,1.0
943428,1.0,2.0
917379,2.0,1.0
60453,1.0,1.0
563185,2.0,1.0
1621697,2.0,1.0
1192601,2.0,9.0
26291,2.0,1.0
427340,1.0,1.0
867822,1.0,1.0
1374002,2.0,1.0
54272,2.0,1.0
339323,1.0,9.0
1624177,1.0,1.0
342865,2.0,1.0
516436,2.0,2.0
397703,2.0,9.0
1213383,2.0,8.0
1182271,1.0,1.0
1369742,1.0,1.0
1266784,2.0,1.0
1142229,1.0,1.0
714530,1.0,1.0
1501086,2.0,1.0
1227764,2.0,1.0
1518067,2.0,1.0
505646,2.0,1.0
1488455,2.0,1.0
388521,1.0,1.0
198895,2.0,6.0
922743,1.0,1.0
88733,1.0,8.0
544341,1.0,1.0
907816,1.0,1.0
515951,1.0,1.0
615537,1.0,1.0
1382951,1.0,1.0
1171326,2.0,1.0
619839,1.0,1.0
1283936,1.0,1.0
275792,2.0,1.0
1612635,1.0,1.0
723731,1.0,1.0
21155,2.0,1.0
1410844,2.0,1.0
497377,1.0,1.0
696651,1.0,6.0
130486,2.0,1.0
188107,1.0,8.0
49791,1.0,1.0
272120,1.0,1.0
571374,2.0,1.0
1124881,1.0,1.0
856821,2.0,1.0
980751,2.0,1.0
1252681,1.0,1.0
606991,1.0,1.0
527682,2.0,1.0
424335,1.0,2.0
1593433,1.0,6.0
1538383,1.0,6.0
647320,2.0,1.0
288048,1.0,1.0
1617658,2.0,1.0
1422594,2.0,1.0
304586,1.0,1.0
614422,1.0,1.0
1488598,2.0,1.0
1561120,2.0,1.0
1283840,2.0,1.0
721489,1.0,1.0
801028,2.0,1.0
96312,1.0,1.0
1233707,2.0,1.0
977681,1.0,1.0
1001013,1.0,1.0
1541284,2.0,1.0
1181726,2.0,1.0
820901,2.0,1.0
1536433,2.0,1.0
783956,1.0,1.0
69582,1.0,9.0
108406,1.0,5.0
1269692,1.0,1.0
506557,1.0,1.0
14815,1.0,1.0
1028280,1.0,1.0
517601,1.0,1.0
1045710,1.0,1.0
74000,2.0,5.0
597786,2.0,1.0
628710,1.0,1.0
1463636,2.0,1.0
1221089,2.0,1.0
217882,1.0,1.0
1028601,1.0,1.0
964232,2.0,1.0
1314337,2.0,1.0
1550508,2.0,9.0
523114,1.0,1.0
1076664,2.0,1.0
563095,1.0,1.0
152845,2.0,1.0
19270,2.0,1.0
540289,2.0,1.0
1321661,1.0,1.0
129398,2.0,2.0
1137880,2.0,2.0
1334463,2.0,1.0
1656182,2.0,1.0
886494,1.0,1.0
264469,1.0,8.0
1332709,2.0,1.0
932593,2.0,9.0
713764,2.0,1.0
1335163,2.0,1.0
739382,2.0,1.0
394010,2.0,1.0
1507108,2.0,1.0
694908,2.0,1.0
1255339,1.0,1.0
1504867,2.0,1.0
1452257,1.0,1.0
1295094,1.0,1.0
651938,1.0,1.0
349682,2.0,1.0
508255,1.0,1.0
134165,1.0,9.0
562055,1.0,1.0
1313868,2.0,2.0
577575,1.0,1.0
985414,1.0,9.0
574270,2.0,1.0
1435948,1.0,1.0
1498973,2.0,1.0
736815,1.0,6.0
591613,1.0,1.0
866305,1.0,1.0
1641739,1.0,1.0
1424330,1.0,6.0
446763,2.0,2.0
188498,1.0,9.0
846219,1.0,1.0
707539,2.0,1.0
984512,2.0,1.0
1111623,2.0,1.0
876508,1.0,1.0
1211180,1.0,1.0
309863,1.0,1.0
166973,1.0,8.0
1234064,2.0,1.0
222401,1.0,1.0
540377,2.0,1.0
565060,1.0,1.0
1494628,1.0,2.0
1363890,1.0,1.0
1260886,1.0,1.0
1308487,1.0,6.0
58948,1.0,1.0
189075,1.0,6.0
361927,1.0,1.0
868145,1.0,1.0
1152453,1.0,1.0
605858,2.0,1.0
1381200,1.0,1.0
724378,1.0,1.0
1555071,1.0,1.0
567239,2.0,1.0
1597404,2.0,2.0
50615,1.0,1.0
296818,1.0,1.0
707432,2.0,1.0
1270117,1.0,1.0
1524339,2.0,1.0
1540702,2.0,2.0
1254413,1.0,1.0
496924,2.0,1.0
1339897,2.0,2.0
1368659,1.0,2.0
841155,2.0,2.0
422989,2.0,1.0
1376292,2.0,1.0
980368,1.0,1.0
1560512,2.0,1.0
1230327,1.0,1.0
1553113,1.0,2.0
1571033,1.0,2.0
20999,2.0,2.0
861272,2.0,1.0
667267,2.0,2.0
878704,2.0,1.0
1362527,2.0,2.0
822737,2.0,8.0
500368,2.0,1.0
598307,2.0,1.0
994119,2.0,2.0
1205708,1.0,1.0
1603043,1.0,1.0
719979,2.0,1.0
844123,1.0,1.0
1135485,1.0,1.0
50903,1.0,1.0
89009,2.0,1.0
193959,2.0,9.0
498608,1.0,1.0
262706,2.0,6.0
501185,1.0,8.0
136115,1.0,1.0
655207,2.0,1.0
632757,2.0,1.0
547108,2.0,6.0
1421853,2.0,1.0
586920,2.0,1.0
489550,1.0,1.0
1556514,1.0,2.0
94738,2.0,1.0
905139,1.0,1.0
